ORIGIN_AIRPORT,source_airport_avg_delay,destination_airport_avg_delay,airport_avg_taxi_out_time,airport_avg_taxi_in_time,total_airline_delay,total_security_delay,total_air_system_delay,total_late_aircraft_delay,total_weather_delay
BWI,6.781196711162281,3.174941334955675,13.383658525986442,6.692610976550196,437728.0,3097.0,214036.0,431728.0,64459.0
BZN,1.08584686774942,2.0777148739063303,17.93618116314977,7.5723124516628,9706.0,0.0,8450.0,14038.0,2527.0
CAE,7.500826446280992,8.816880733944954,20.82018348623853,10.378696051423324,28433.0,0.0,14440.0,27437.0,1124.0
CAK,-0.12732342007434944,4.812209482491478,16.676479702510072,8.282527881040892,17385.0,0.0,16593.0,20409.0,3367.0
CDC,0.47106109324758844,6.990353697749196,17.577170418006432,5.533762057877814,1250.0,0.0,502.0,2720.0,107.0
CDV,-1.7746478873239437,0.8665730337078652,11.00561797752809,4.250704225352113,595.0,391.0,516.0,3452.0,31.0
CEC,9.528735632183908,4.231638418079096,17.333333333333332,5.977011494252873,165.0,0.0,1821.0,1510.0,0.0
CHA,5.573259668508287,5.709435626102293,17.49029982363316,8.704972375690607,17375.0,0.0,10930.0,20941.0,705.0
CHO,8.52450558899398,9.988451668092386,20.748930710008555,9.807394668959587,11786.0,0.0,7737.0,16674.0,319.0
CHS,3.653316547328665,3.755313308760097,18.123362873500117,8.51632701235345,35453.0,4.0,49013.0,53474.0,2509.0
CID,8.221784407542922,6.772230014025245,19.089481065918655,11.875175907683648,29218.0,20.0,22901.0,44155.0,6636.0
CIU,8.235023041474655,4.774193548387097,19.583717357910906,7.771121351766513,3388.0,20.0,768.0,3175.0,487.0
CLD,5.240445859872612,4.3875598086124405,16.03189792663477,9.036624203821656,479.0,0.0,1650.0,3326.0,407.0
CLE,2.633308013672617,4.014278747155088,17.173079007261297,9.095681189300635,115974.0,381.0,128205.0,149943.0,10052.0
CLL,1.9468659194686593,1.1761528874117158,16.571250519318653,12.043171440431715,5777.0,0.0,5488.0,8298.0,1838.0
